context,question,gold,category,predicted,exact_match,numeric_faithful,hybrid_f1
"Only 54% understand that the personal data they share online can be used to target them with personalized commercial or financial offers. • On average across participating countries and economies, 38% of adults who report to manage financial products and services online reach the minimum target score on digital financial literacy. Some 41% of adults on average across participating countries and economies understand that crypto-currencies are not legal tender.","According to the text, fill in the blank: • On average across participating countries and economies, ___ of adults who report to manage financial products and services online reach the minimum target score on digital financial literacy.?",38%,Knowledge - Statistics,38%,1,1.0,1.0
"Some 41% of adults on average across participating countries and economies understand that crypto-currencies are not legal tender. 8  OECD/INFE 2023 INTERNATIONAL SURVEY OF ADULT FINANCIAL LITERACY © OECD 2023 Higher financial literacy is associated with greater individual financial well-being • The OECD Recommendation on Financial Literacy recognises individual financial well-being as the ultimate goal of financial literacy policies and programmes (OECD, 2020[1]). • Across participating countries and economies, the average financial well-being score is 42 out of 100 points (47 out of 100 across participating OECD countries).","True or False: Based on the provided text, 8  OECD/INFE 2023 INTERNATIONAL SURVEY OF ADULT FINANCIAL LITERACY © OECD 2023 Higher financial literacy is associated with greater individual financial well-being • The OECD Recommendation on Financial Literacy recognises individual financial well-being as the ultimate goal of financial literacy policies and programmes (OECD, 2020[1]).",True,Knowledge - Fact Verification,True,1,,1.0
"• Financial knowledge: The average financial knowledge score across all participating countries and economies is 63 out of 100 points (67 out of 100 across participating OECD countries). Across participating countries and economies, 84% of adults understand the definition of inflation, however, only 63% can apply the concept of time value of money to their own savings. Furthermore, findings show that some 77% of adults understand the relationship between risk and reward, yet only 42% of adults can correctly answer a question about compound interest.","According to the text, fill in the blank: Across participating countries and economies, ___ of adults understand the definition of inflation, however, only 63% can apply the concept of time value of money to their own savings.?",84%,Knowledge - Statistics,84%,1,1.0,1.0
"Across participating countries and economies, 84% of adults understand the definition of inflation, however, only 63% can apply the concept of time value of money to their own savings. Furthermore, findings show that some 77% of adults understand the relationship between risk and reward, yet only 42% of adults can correctly answer a question about compound interest. Even among adults who hold savings products across participating countries and economies, only 46% understand compound interest.","According to the text, fill in the blank: Furthermore, findings show that some ___ of adults understand the relationship between risk and reward, yet only 42% of adults can correctly answer a question about compound interest.?",77%,Knowledge - Statistics,77%,1,1.0,1.0
"• Financial attitudes: The average financial attitude score across all participating countries and economies is 56 out of 100 points (58 out of 100 across participating OECD countries). • Adults who have attained a higher level of formal education, adults with higher incomes, as well as adults who are employed have higher levels of financial literacy in many participating countries and economies. • Across many participating countries and economies, a majority of adults (63%) who hold any type of financial product do not score at the minimum target financial literacy score (at least 70 out of 100 points).","True or False: Based on the provided text, • Adults who have attained a higher level of formal education, adults with higher incomes, as well as adults who are employed have higher levels of financial literacy in many participating countries and economies.",True,Knowledge - Fact Verification,True,1,,1.0
"• Adults who have attained a higher level of formal education, adults with higher incomes, as well as adults who are employed have higher levels of financial literacy in many participating countries and economies. • Across many participating countries and economies, a majority of adults (63%) who hold any type of financial product do not score at the minimum target financial literacy score (at least 70 out of 100 points). • On average across participating countries and economies, 15% of adults reported that they have been a victim of at least one type of financial frauds or scams such as phishing scams, scams involving personal information, investment scams, and unauthorized or unrecognized transactions.","According to the text, fill in the blank: • Across many participating countries and economies, a majority of adults (___) who hold any type of financial product do not score at the minimum target financial literacy score (at least 70 out of 100 points).?",63%,Knowledge - Statistics,63%,1,1.0,1.0
"Across all participating countries and economies, around two out of three adults who have been a victim of one of these types of financial frauds or scams do not reach the minimum target financial literacy score. 2 Financial literacy and its components  13 OECD/INFE 2023 INTERNATIONAL SURVEY OF ADULT FINANCIAL LITERACY © OECD 2023 Financial literacy is defined by the OECD is a combination of “financial awareness, knowledge, skills, attitudes and behaviours necessary to make sound financial decision and ultimately achieve financial wellbeing” (OECD, 2022[22]). Financial literacy can enable individuals to make informed financial decisions and develop greater control over personal financial matters.","True or False: Based on the provided text, 2 Financial literacy and its components  13 OECD/INFE 2023 INTERNATIONAL SURVEY OF ADULT FINANCIAL LITERACY © OECD 2023 Financial literacy is defined by the OECD is a combination of “financial awareness, knowledge, skills, attitudes and behaviours necessary to make sound financial decision and ultimately achieve financial wellbeing” (OECD, 2022[22]).",True,Knowledge - Fact Verification,True,1,,1.0
"Figure 2.2 reports the percentage of adults who reach the minimum target score on financial literacy, showing wide variation across countries and economies. On average across all participating countries and economies, 34% of adults reach the minimum target score on financial literacy (at least 70 points out of 100). Across participating OECD countries, 39% of adults reach the minimum target score on financial literacy.","According to the text, fill in the blank: On average across all participating countries and economies, ___ of adults reach the minimum target score on financial literacy (at least 70 points out of 100).?",34%,Knowledge - Statistics,34%,1,1.0,1.0
"On average across all participating countries and economies, 34% of adults reach the minimum target score on financial literacy (at least 70 points out of 100). Across participating OECD countries, 39% of adults reach the minimum target score on financial literacy. 16  OECD/INFE 2023 INTERNATIONAL SURVEY OF ADULT FINANCIAL LITERACY © OECD 2023 Figure 2.2. Minimum target financial literacy Percentage of adults who scored at least 70 points (out of 100) on financial literacy Notes: The results for Jordan, Mexico and Saudi Arabia should be interpreted with caution as the national samples may not be representative of the entire adult population.","According to the text, fill in the blank: Across participating OECD countries, ___ of adults reach the minimum target score on financial literacy.?",39%,Knowledge - Statistics,39%,1,1.0,1.0
"Across participating OECD countries, 39% of adults reach the minimum target score on financial literacy. 16  OECD/INFE 2023 INTERNATIONAL SURVEY OF ADULT FINANCIAL LITERACY © OECD 2023 Figure 2.2. Minimum target financial literacy Percentage of adults who scored at least 70 points (out of 100) on financial literacy Notes: The results for Jordan, Mexico and Saudi Arabia should be interpreted with caution as the national samples may not be representative of the entire adult population. See Annex A for further details.","True or False: Based on the provided text, 16  OECD/INFE 2023 INTERNATIONAL SURVEY OF ADULT FINANCIAL LITERACY © OECD 2023 Figure 2.2. Minimum target financial literacy Percentage of adults who scored at least 70 points (out of 100) on financial literacy Notes: The results for Jordan, Mexico and Saudi Arabia should be interpreted with caution as the national samples may not be representative of the entire adult population.",True,Knowledge - Fact Verification,True,1,,1.0
"Figure 2.3 presents the percentage of adults who obtained the minimum financial knowledge score, showing wide variation across countries and economies. Across all participating countries and economies, 50% of adults scored the minimum target financial knowledge score of at least five out of seven correct answers (58% of adults across participating OECD countries). 18  OECD/INFE 2023 INTERNATIONAL SURVEY OF ADULT FINANCIAL LITERACY © OECD 2023 Figure 2.3. Minimum target financial knowledge Percentage of adults who obtained the minimum financial knowledge score (correctly answering at least five out of seven financial knowledge questions) Notes: The minimum financial knowledge score is defined as correctly answering at least five of the seven financial knowledge questions.","According to the text, fill in the blank: Across all participating countries and economies, ___ of adults scored the minimum target financial knowledge score of at least five out of seven correct answers (58% of adults across participating OECD countries).?",50%,Knowledge - Statistics,50%,1,1.0,1.0
"Overall, most adults understand the meaning of inflation and can make a simple numerical calculation on the interest on a loan. On average across all participating countries and economies, some 84% of adults correctly answered the question on the impact of inflation on the cost of living and the question on interest charged on a loan. While most people understand the meaning of inflation, fewer understand the impact of inflation on their savings, as only 63% of adults on average across participating countries and economies can correctly answer the question on the time value of money.","According to the text, fill in the blank: On average across all participating countries and economies, some ___ of adults correctly answered the question on the impact of inflation on the cost of living and the question on interest charged on a loan.?",84%,Knowledge - Statistics,84%,1,1.0,1.0
"On average across all participating countries and economies, some 84% of adults correctly answered the question on the impact of inflation on the cost of living and the question on interest charged on a loan. While most people understand the meaning of inflation, fewer understand the impact of inflation on their savings, as only 63% of adults on average across participating countries and economies can correctly answer the question on the time value of money. However, compound interest seems to be a more difficult concept; on average across participating countries and economies, less than half of all adults correctly answered the question requiring them to make this calculation.","According to the text, fill in the blank: While most people understand the meaning of inflation, fewer understand the impact of inflation on their savings, as only ___ of adults on average across participating countries and economies can correctly answer the question on the time value of money.?",63%,Knowledge - Statistics,63%,1,1.0,1.0
"While most people understand the meaning of inflation, fewer understand the impact of inflation on their savings, as only 63% of adults on average across participating countries and economies can correctly answer the question on the time value of money. However, compound interest seems to be a more difficult concept; on average across participating countries and economies, less than half of all adults correctly answered the question requiring them to make this calculation. In terms of understanding the relationship between risk and return, 77% of adults answered this question correctly whereas 59% of adults correctly understood the importance of diversification in reducing risk across participating countries and economies.","True or False: Based on the provided text, However, compound interest seems to be a more difficult concept; on average across participating countries and economies, less than half of all adults correctly answered the question requiring them to make this calculation.",True,Knowledge - Fact Verification,True,1,,1.0
"However, compound interest seems to be a more difficult concept; on average across participating countries and economies, less than half of all adults correctly answered the question requiring them to make this calculation. In terms of understanding the relationship between risk and return, 77% of adults answered this question correctly whereas 59% of adults correctly understood the importance of diversification in reducing risk across participating countries and economies. 20  OECD/INFE 2023 INTERNATIONAL SURVEY OF ADULT FINANCIAL LITERACY © OECD 2023 Figure 2.4. Financial knowledge questions Percentage of adults who correctly answered each financial knowledge question Notes: This graph displays the percentage of adults who correctly answered each financial knowledge question as well as the percentage of adults who correctly understand both simple and compound interest.","According to the text, fill in the blank: In terms of understanding the relationship between risk and return, ___ of adults answered this question correctly whereas 59% of adults correctly understood the importance of diversification in reducing risk across participating countries and economies.?",77%,Knowledge - Statistics,77%,1,1.0,1.0
"In terms of understanding the relationship between risk and return, 77% of adults answered this question correctly whereas 59% of adults correctly understood the importance of diversification in reducing risk across participating countries and economies. 20  OECD/INFE 2023 INTERNATIONAL SURVEY OF ADULT FINANCIAL LITERACY © OECD 2023 Figure 2.4. Financial knowledge questions Percentage of adults who correctly answered each financial knowledge question Notes: This graph displays the percentage of adults who correctly answered each financial knowledge question as well as the percentage of adults who correctly understand both simple and compound interest. Not every column displayed in the graph is used to calculate the financial knowledge score.","True or False: Based on the provided text, 20  OECD/INFE 2023 INTERNATIONAL SURVEY OF ADULT FINANCIAL LITERACY © OECD 2023 Figure 2.4. Financial knowledge questions Percentage of adults who correctly answered each financial knowledge question Notes: This graph displays the percentage of adults who correctly answered each financial knowledge question as well as the percentage of adults who correctly understand both simple and compound interest.",True,Knowledge - Fact Verification,True,1,,1.0
"Almost all adults (at least 99%) in six participating countries and economies are aware of at least one type of payment product. • Saving, Investment or Retirement Products: On average across participating countries and economies, 87% of adults are aware of a saving, investment or retirement product (excluding mandatory pensions or saving products). More than 90% of adults are aware of at least one savings, investment or retirement product in 22 participating countries and economies.","According to the text, fill in the blank: • Saving, Investment or Retirement Products: On average across participating countries and economies, ___ of adults are aware of a saving, investment or retirement product (excluding mandatory pensions or saving products).?",87%,Knowledge - Statistics,87%,1,1.0,1.0
"• Saving, Investment or Retirement Products: On average across participating countries and economies, 87% of adults are aware of a saving, investment or retirement product (excluding mandatory pensions or saving products). More than 90% of adults are aware of at least one savings, investment or retirement product in 22 participating countries and economies. • Credit Products: On average across participating countries and economies, around 87% of adults are aware of a credit product.","According to the text, fill in the blank: More than ___ of adults are aware of at least one savings, investment or retirement product in 22 participating countries and economies.?",90%,Knowledge - Statistics,90%,1,1.0,1.0
"Holding financial products While awareness of many types of financial products is high, holding of these financial products is lower. Table 2.21 in Annex D presents the percentage of adults by country or economy who hold various types 30  OECD/INFE 2023 INTERNATIONAL SURVEY OF ADULT FINANCIAL LITERACY © OECD 2023 of financial products. Overall, the most commonly held financial product is a type of payment product.","True or False: Based on the provided text, Table 2.21 in Annex D presents the percentage of adults by country or economy who hold various types 30  OECD/INFE 2023 INTERNATIONAL SURVEY OF ADULT FINANCIAL LITERACY © OECD 2023 of financial products.",True,Knowledge - Fact Verification,True,1,,1.0
"• Payment Products: On average across participating countries and economies, 67% of adults hold a type of payment product (80% of adults across participating OECD countries). • Saving, Investment or Retirement Products: On average across participating countries and economies, slightly more than half (52%) of adults hold a saving, investment or retirement product (excluding mandatory pensions or saving products). More than 75% of adults hold at least one savings, investment or retirement product in ten participating countries and economies.","According to the text, fill in the blank: • Saving, Investment or Retirement Products: On average across participating countries and economies, slightly more than half (___) of adults hold a saving, investment or retirement product (excluding mandatory pensions or saving products).?",52%,Knowledge - Statistics,52%,1,1.0,1.0
"• Saving, Investment or Retirement Products: On average across participating countries and economies, slightly more than half (52%) of adults hold a saving, investment or retirement product (excluding mandatory pensions or saving products). More than 75% of adults hold at least one savings, investment or retirement product in ten participating countries and economies. However, less than half of adults in 21 participating countries and economies hold a savings, investment, or retirement product.","According to the text, fill in the blank: More than ___ of adults hold at least one savings, investment or retirement product in ten participating countries and economies.?",75%,Knowledge - Statistics,75%,1,1.0,1.0
"More than 75% of adults hold at least one savings, investment or retirement product in ten participating countries and economies. However, less than half of adults in 21 participating countries and economies hold a savings, investment, or retirement product. • Credit Products: On average across participating countries and economies, 49% of adults hold a credit product (57% of adults across participating OECD countries).","True or False: Based on the provided text, However, less than half of adults in 21 participating countries and economies hold a savings, investment, or retirement product.",True,Knowledge - Fact Verification,True,1,,1.0
"Across many participating countries and economies, most adults who hold any type of financial product do not reach the minimum target score of financial literacy (at least 70 out of 100 points). On average across all participating countries and economies, only 37% of adults who hold any type of financial product reach the minimum target financial literacy score (42% of adults across participating OECD countries). In 14 participating countries and economies, less than 25% of adults who hold any type of financial product reach the minimum target financial literacy score.","According to the text, fill in the blank: On average across all participating countries and economies, only ___ of adults who hold any type of financial product reach the minimum target financial literacy score (42% of adults across participating OECD countries).?",37%,Knowledge - Statistics,37%,1,1.0,1.0
"On average across all participating countries and economies, only 37% of adults who hold any type of financial product reach the minimum target financial literacy score (42% of adults across participating OECD countries). In 14 participating countries and economies, less than 25% of adults who hold any type of financial product reach the minimum target financial literacy score. However, in Germany, Hong Kong (China) and Luxembourg over half of adults who hold any type of financial product reach the minimum target financial literacy score.","According to the text, fill in the blank: In 14 participating countries and economies, less than ___ of adults who hold any type of financial product reach the minimum target financial literacy score.?",25%,Knowledge - Statistics,25,1,1.0,1.0
"In 14 participating countries and economies, less than 25% of adults who hold any type of financial product reach the minimum target financial literacy score. However, in Germany, Hong Kong (China) and Luxembourg over half of adults who hold any type of financial product reach the minimum target financial literacy score. Table 2.22 in Annex D reports the percentage of adults who hold any financial product, by their level of financial literacy in each participating country and economy.","True or False: Based on the provided text, However, in Germany, Hong Kong (China) and Luxembourg over half of adults who hold any type of financial product reach the minimum target financial literacy score.",True,Knowledge - Fact Verification,True,1,,1.0
"Figure 2.11 displays the percentage of adults who hold a savings product by knowledge of compound interest across participating countries and economies. On average across participating countries and economies, 46% of adults who hold a savings, investment or retirement product understand compound interest (51% of adults across participating OECD countries). In six participating countries and economies, less than one third of adults who hold savings, investment or retirement products understand compound interest.","According to the text, fill in the blank: On average across participating countries and economies, ___ of adults who hold a savings, investment or retirement product understand compound interest (51% of adults across participating OECD countries).?",46%,Knowledge - Statistics,33%,0,0.0,0.0
"Other interesting findings include: • Denied opening a bank account. On average across participating countries and economies, some 7% of adults reported that they tried to open a bank account but were refused, for any reason (4% of adults across participating OECD countries). More than one in ten adults in six participating countries and economies have been denied opening a bank account.","According to the text, fill in the blank: On average across participating countries and economies, some ___ of adults reported that they tried to open a bank account but were refused, for any reason (4% of adults across participating OECD countries).?",7%,Knowledge - Statistics,33%,0,0.0,0.0
"On average across participating countries and economies, some 7% of adults reported that they tried to open a bank account but were refused, for any reason (4% of adults across participating OECD countries). More than one in ten adults in six participating countries and economies have been denied opening a bank account. On average across participating countries and economies, some one in ten adults have been denied credit for which they had applied (7% across participating OECD countries).","True or False: Based on the provided text, More than one in ten adults in six participating countries and economies have been denied opening a bank account.",True,Knowledge - Fact Verification,True,1,,1.0
"36  OECD/INFE 2023 INTERNATIONAL SURVEY OF ADULT FINANCIAL LITERACY © OECD 2023 Key results • The average digital financial literacy score across all participating countries and economies is 53 out of 100 points (55 out of 100 across participating OECD countries). • Across all participating countries and economies, some 29% of adults score the minimum target digital financial literacy score (at least 70 points out of 100). Across participating OECD countries, 34% of adults score the minimum target digital financial literacy score.","According to the text, fill in the blank: • Across all participating countries and economies, some ___ of adults score the minimum target digital financial literacy score (at least 70 points out of 100).?",29%,Knowledge - Statistics,29%,1,1.0,1.0
"• Across all participating countries and economies, some 29% of adults score the minimum target digital financial literacy score (at least 70 points out of 100). Across participating OECD countries, 34% of adults score the minimum target digital financial literacy score. • Digital financial literacy levels are higher among adults who have higher incomes and higher levels of education, compared to adults with lower incomes or lower levels of education.","According to the text, fill in the blank: Across participating OECD countries, ___ of adults score the minimum target digital financial literacy score.?",34%,Knowledge - Statistics,34%,1,1.0,1.0
"Across participating OECD countries, 34% of adults score the minimum target digital financial literacy score. • Digital financial literacy levels are higher among adults who have higher incomes and higher levels of education, compared to adults with lower incomes or lower levels of education. • On average across participating countries and economies, 38% of adults who manage financial products and services online score the minimum target digital financial literacy score (at least 70 out of 100 points).","True or False: Based on the provided text, • Digital financial literacy levels are higher among adults who have higher incomes and higher levels of education, compared to adults with lower incomes or lower levels of education.",True,Knowledge - Fact Verification,True,1,,1.0
"• Digital financial literacy levels are higher among adults who have higher incomes and higher levels of education, compared to adults with lower incomes or lower levels of education. • On average across participating countries and economies, 38% of adults who manage financial products and services online score the minimum target digital financial literacy score (at least 70 out of 100 points). The size and nature of the consumer financial services market has grown and changed considerably since the OECD/INFE started to collect data on financial literacy, with new financial products, services and distribution channels along with increased digitalisation.","According to the text, fill in the blank: • On average across participating countries and economies, ___ of adults who manage financial products and services online score the minimum target digital financial literacy score (at least 70 out of 100 points).?",38%,Knowledge - Statistics,38%,1,1.0,1.0
"Figure 3.2 reports the percentage of adults who reach the minimum target score on digital financial literacy, showing wide variation across countries and economies. Across all participating countries and economies, 29% of adults reach the minimum target score on digital financial literacy (at least 70 points out of 100). Across participating OECD countries, 34% of adults reach the minimum target score on digital financial literacy.","According to the text, fill in the blank: Across all participating countries and economies, ___ of adults reach the minimum target score on digital financial literacy (at least 70 points out of 100).?",29%,Knowledge - Statistics,29%,1,1.0,1.0
"Across all participating countries and economies, 29% of adults reach the minimum target score on digital financial literacy (at least 70 points out of 100). Across participating OECD countries, 34% of adults reach the minimum target score on digital financial literacy.  39 OECD/INFE 2023 INTERNATIONAL SURVEY OF ADULT FINANCIAL LITERACY © OECD 2023 Figure 3.2. Minimum target score on digital financial literacy Percentage of adults who scored at least 70 points on digital financial literacy, across all adults and among those with Internet access Notes: This figure includes two data points to reflect calculations of minimum digital financial literacy scores (1) across the entire sample and (2) across the sub-sample of respondents who indicated they had access to the Internet.","According to the text, fill in the blank: Across participating OECD countries, ___ of adults reach the minimum target score on digital financial literacy.?",34%,Knowledge - Statistics,34%,1,1.0,1.0
"Across participating OECD countries, 34% of adults reach the minimum target score on digital financial literacy.  39 OECD/INFE 2023 INTERNATIONAL SURVEY OF ADULT FINANCIAL LITERACY © OECD 2023 Figure 3.2. Minimum target score on digital financial literacy Percentage of adults who scored at least 70 points on digital financial literacy, across all adults and among those with Internet access Notes: This figure includes two data points to reflect calculations of minimum digital financial literacy scores (1) across the entire sample and (2) across the sub-sample of respondents who indicated they had access to the Internet. Please note that for some participating countries and economies, both calculations are available whereas for others only one of the two scores are available.","True or False: Based on the provided text,  39 OECD/INFE 2023 INTERNATIONAL SURVEY OF ADULT FINANCIAL LITERACY © OECD 2023 Figure 3.2. Minimum target score on digital financial literacy Percentage of adults who scored at least 70 points on digital financial literacy, across all adults and among those with Internet access Notes: This figure includes two data points to reflect calculations of minimum digital financial literacy scores (1) across the entire sample and (2) across the sub-sample of respondents who indicated they had access to the Internet.",True,Knowledge - Fact Verification,True,1,,1.0
"One digital financial literacy question asks respondents if they agree or disagree with the statement “I share the passwords and PINs of my bank account with close friends.” While in some cases people might have good reasons for sharing passwords and PINs with family members (for instance of case of illness), it usually considered unsafe to share passwords and PINs with friends. On average across participating countries and economies, 86% of adults do not share the passwords and PINs of their accounts with close friends (87% of adults across participating OECD countries). Another digital financial literacy question asks respondents if they agree or disagree with the statement “I share information about my finances publicly online.” On average across participating countries and 40  OECD/INFE 2023 INTERNATIONAL SURVEY OF ADULT FINANCIAL LITERACY © OECD 2023 economies, 81% do not share information about their finances publicly online (83% of adults across participating OECD countries).","According to the text, fill in the blank: On average across participating countries and economies, ___ of adults do not share the passwords and PINs of their accounts with close friends (87% of adults across participating OECD countries).?",86%,Knowledge - Statistics,86%,1,1.0,1.0
"On average across participating countries and economies, 86% of adults do not share the passwords and PINs of their accounts with close friends (87% of adults across participating OECD countries). Another digital financial literacy question asks respondents if they agree or disagree with the statement “I share information about my finances publicly online.” On average across participating countries and 40  OECD/INFE 2023 INTERNATIONAL SURVEY OF ADULT FINANCIAL LITERACY © OECD 2023 economies, 81% do not share information about their finances publicly online (83% of adults across participating OECD countries). While it is usually considered unsafe to share passwords and PINs, or information about finances publicly online, other responses point to potentially risky behaviours.","According to the text, fill in the blank: Another digital financial literacy question asks respondents if they agree or disagree with the statement “I share information about my finances publicly online.” On average across participating countries and 40  OECD/INFE 2023 INTERNATIONAL SURVEY OF ADULT FINANCIAL LITERACY © OECD 2023 economies, ___ do not share information about their finances publicly online (83% of adults across participating OECD countries).?",81%,Knowledge - Statistics,83%,0,0.0,0.0
"Another digital financial literacy question asks respondents if they agree or disagree with the statement “I share information about my finances publicly online.” On average across participating countries and 40  OECD/INFE 2023 INTERNATIONAL SURVEY OF ADULT FINANCIAL LITERACY © OECD 2023 economies, 81% do not share information about their finances publicly online (83% of adults across participating OECD countries). While it is usually considered unsafe to share passwords and PINs, or information about finances publicly online, other responses point to potentially risky behaviours. Some 23% of adults on average across participating countries and economies report regularly changing their passwords on websites they use for online shopping or personal finance.","True or False: Based on the provided text, While it is usually considered unsafe to share passwords and PINs, or information about finances publicly online, other responses point to potentially risky behaviours.",True,Knowledge - Fact Verification,True,1,,1.0
